title,creators,year_or_source,source_queries_matched,permalink
On the Nature of Issues in Five Open Source Microservices Systems: An Empirical Study,"Waseem, Muhammad ; Liang, Peng ; Shahin, Mojtaba ; Ahmad, Aakash ; Nassab, Ali Rezaei; Chitchyan, Ruzanna ; Li, Jingyue ; Weber, Barbara ; Yue, Tao","Proceedings of the 25th International Conference on Evaluation and Assessment in Software Engineering, 2021, p.201-210",SQ1,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_acm_books_10_1145_3463274_3463337_brief
ElasticMiter: Formally Verified Dataflow Circuit Rewrites,"Elakhras, Ayatallah ; Xu, Jiahui ; Erhart, Martin ; Ienne, Paolo ; Josipovi?, Lana","Proceedings of the 30th ACM International Conference on Architectural Support for Programming Languages and Operating Systems, Volume 2, 2025, p.293-308",SQ1,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_acm_books_10_1145_3676641_3715993
Longevity of Artifacts in Leading Parallel and Distributed Systems Conferences: a Review of the State of the Practice in 2023,"Guilloteau, Quentin ; Ciorba, Florina ; Poquet, Millian ; Goepp, Dorian ; Richard, Olivier","Proceedings of the 2nd ACM Conference on Reproducibility and Replicability, 2024, p.121-133",SQ1;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_acm_books_10_1145_3641525_3663631_brief
Automated Grading for Advanced Topics Courses,"Maicus, Evan E",,SQ1;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_proquest_journals_2729068668
Building deduplicated model repositories to assess domain-specific languages evolution,"Lachance, Alexandre ; Mosser, Sebastien","Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems, 2024, p.1025-1034",SQ1;SQ2;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_acm_books_10_1145_3652620_3688338
Incremental flattening for nested data parallelism,"Henriksen, Troels ; Thorøe, Frederik ; Elsman, Martin ; Oancea, Cosmin","Proceedings of the 24th Symposium on Principles and Practice of Parallel Programming, 2019, p.53-67",SQ1;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_acm_books_10_1145_3293883_3295707_brief
Scientific Tests and Continuous Integration Strategies to Enhance Reproducibility in the Scientific Software Context,"Krafczyk, Matthew ; Shi, August ; Bhaskar, Adhithya ; Marinov, Darko ; Stodden, Victoria","Proceedings of the 2nd International Workshop on Practical Reproducible Evaluation of Computer Systems, 2019, p.23-28",SQ1;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_acm_books_10_1145_3322790_3330595
The Impact of an Automation System Built with Jenkins on the Efficiency of Container-Based System Deployment,"Hyun, Giwoo ; Oak, Jiwon ; Kim, Donghoon ; Kim, Kunwoo","Sensors (Basel, Switzerland), 2024-09, Vol.24 (18), p.6002",SQ1;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_gale_infotracacademiconefile_A810795106
Local software buildability across Java versions,"Sulír, Matúš ; Porubän, Jaroslav ; Chodarev, Sergej","Empirical software engineering : an international journal, 2026-05, Vol.31 (3), p.78, Article 78",SQ1;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_proquest_journals_3307174400
Autograding Distributed Algorithms in Networked Containers,"Maicus, Evan ; Peveler, Matthew ; Patterson, Stacy ; Cutler, Barbara","Proceedings of the 50th ACM Technical Symposium on Computer Science Education, 2019, p.133-138",SQ1;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_acm_books_10_1145_3287324_3287505_brief
